STRATA	MBB_CODE
2013	MBB 1460
2012	MBB 1402
2010	MBB 1347
2013	MBB 1357
2012	MBB 1422
2011	MBB 1423
2011	MBB 1349
2011	MBB 1358
2010	MBB 1359
2012	MBB 1360
2014	MBB 1391
2010	MBB 1337
2013	MBB 1431
2011	MBB 1463
2011	MBB 1464
2010	MBB 1340
2014	MBB 1516
2010	MBB 1363
2010	MBB 1490
2013	MBB 1413
2012	MBB 1414
2013	MBB 1432
2013	MBB 1351
2011	MBB 1352
2011	MBB 1524
2011	MBB 1533
2013	MBB 1394
2013	MBB 1354
2015	MBB 1492
2011	MBB 1536
2013	MBB 1375
2012	MBB 1187
2011	MBB 1537
2014	MBB 1189
2011	MBB 1190
2014	MBB 1433
2013	MBB 1434
2015	MBB 1493
2013	MBB 1538
2011	MBB 1376
2010	MBB 1380
2011	MBB 1441
2010	MBB 1323
2011	MBB 1466
2013	MBB 1509
2013	MBB 1510
2011	MBB 1327
2011	MBB 1470
2013	MBB 1192
2013	MBB 1471
2012	MBB 1511
2012	MBB 1448
2012	MBB 1450
2012	MBB 1551
2014	MBB 1452
2014	MBB 1540
2013	MBB 1387
2014	MBB 1161
2013	MBB 1479
2011	MBB 1343
2013	MBB 1344
2010	MBB 1162
2012	MBB 1163
2012	MBB 1164
2010	MBB 1481
2011	MBB 1498
2013	MBB 1416
2011	MBB 1527
2012	MBB 1428
2014	MBB 1482
2013	MBB 1501
2012	MBB 1502
2013	MBB 1418
2012	MBB 1457
2013	MBB 1517
2010	MBB 1355
2013	MBB 1518
2013	MBB 1528
2014	MBB 1356
2011	MBB 1505
2010	MBB 1506
2013	MBB 1546
2012	MBB 1420
2013	MBB 1484
2012	MBB 1399
2010	MBB 1515
2012	MBB 1547
2011	MBB 1334
2011	MBB 1335
2014	MBB 1552
2013	MBB 1348
2013	MBB 1430
2011	MBB 1521
2012	MBB 1508
2014	MBB 1390
2011	MBB 1336
2014	MBB 1403
2013	MBB 1459
2015	MBB 1486
2010	MBB 1487
2010	MBB 1531
2013	MBB 1181
2012	MBB 1182
2013	MBB 1183
2016	MBB 1488
2012	MBB 1369
2012	MBB 1374
2012	MBB 1382
2012	MBB 1404
2009	MBB 1405
2011	MBB 1338
2013	MBB 1184
2011	MBB 1461
2015	MBB 1462
2007	MBB 1361
2013	MBB 1362
2008	MBB 1339
2013	MBB 1185
2013	MBB 1489
2014	MBB 1532
2014	MBB 1383
2010	MBB 1386
2013	MBB 1406
2010	MBB 1407
2012	MBB 1408
2013	MBB 1409
2012	MBB 1410
2009	MBB 1341
2013	MBB 1269
2011	MBB 1522
2013	MBB 1523
2013	MBB 1392
2010	MBB 1393
2012	MBB 1411
2015	MBB 1412
2012	MBB 1270
2015	MBB 1353
2013	MBB 1491
2010	MBB 1186
2009	MBB 1328
2012	MBB 1364
2013	MBB 1365
2013	MBB 1366
2010	MBB 1525
2010	MBB 1534
2013	MBB 1535
2014	MBB 1188
2013	MBB 1350
2010	MBB 1266
2012	MBB 1267
2012	MBB 1395
2008	MBB 1268
2010	MBB 1377
2012	MBB 1378
2011	MBB 1379
2013	MBB 1191
2013	MBB 1435
2013	MBB 1465
2012	MBB 1494
2012	MBB 1539
2016	MBB 1549
2009	MBB 1324
2013	MBB 1467
2012	MBB 1325
2009	MBB 1326
2014	MBB 1468
2010	MBB 1396
2013	MBB 1442
2012	MBB 1443
2011	MBB 1444
2014	MBB 1469
2010	MBB 1526
2015	MBB 1550
2013	MBB 1445
2009	MBB 1329
2010	MBB 1367
2011	MBB 1384
2012	MBB 1397
2011	MBB 1158
2011	MBB 1446
2012	MBB 1330
2012	MBB 1472
2014	MBB 1473
2010	MBB 1474
2013	MBB 1398
2009	MBB 1159
2013	MBB 1160
2012	MBB 1447
2014	MBB 1449
2010	MBB 1331
2009	MBB 1475
2013	MBB 1476
2008	MBB 1385
2013	MBB 1477
2014	MBB 1478
2013	MBB 1368
2011	MBB 1451
2011	MBB 1332
2013	MBB 1453
2013	MBB 1480
2012	MBB 1495
2010	MBB 1496
2007	MBB 1541
2013	MBB 1342
2013	MBB 1165
2012	MBB 1497
2013	MBB 1370
2013	MBB 1542
2011	MBB 1543
2011	MBB 1388
2012	MBB 1415
2011	MBB 1345
2011	MBB 1371
2011	MBB 1499
2012	MBB 1544
2008	MBB 1427
2014	MBB 1454
2015	MBB 1500
2010	MBB 1381
2012	MBB 1417
2014	MBB 1503
2013	MBB 1545
2012	MBB 1512
2012	MBB 1513
2013	MBB 1455
2011	MBB 1456
2011	MBB 1504
2013	MBB 1346
2012	MBB 1483
2014	MBB 1419
2009	MBB 1514
2012	MBB 1458
2013	MBB 1519
2008	MBB 1507
2008	MBB 1372
2007	MBB 1373
2009	MBB 1389
2012	MBB 1400
2005	MBB 1401
2012	MBB 1421
2012	MBB 1429
2011	MBB 1520
2015	MBB 1485
2012	MBB 1529
2013	MBB 1530
2009	MBB 1548
2012	MBB 1333
