MBB_Code,Shark No. ID,Shark ID code,Species,Catch location,Lat/long (decimal),Lat/long (decimal),Date tagged,Time released,PCL,FL,TL,Sex,Sent,Type,"Solution: White = RNA Later, Coloured = Ethanol"
MBB 1460,171,GWS_030917-2,White shark,"Shark Bay, Evans Head",-29.11141,153.44358,3/9/17,10:26,173,200,225,M,16/1/18,Fin,Ethanol - 100%
MBB 1552,267,GWS-010118-1,White Shark,"Park Beach, Coffs Harbour",-30.28433,153.14766,1/1/18,8:01,207,228,256,F,8/2/18,Fin,Ethanol - 100%
MBB 1402,99,GWS-010617-1,White shark,"Jogglys Point, Evans Head",-29.11448,153.44872,1/6/17,15:35,202,233,240,M,28/11/17,Fin,RNA later
MBB 1347,35,GWS-010816-1,White shark,"Boambee Beach, Coffs Harbour",-30.32208,153.13636,1/8/16,11:29,235,259,293,M,28/11/17,Fin,RNA later
MBB 1348,36,GWS-010816-2,White shark,"Boambee Beach, Coffs Harbour",-30.34126,153.11874,1/8/16,16:22,169,190,214,F,28/11/17,Fin,RNA later
MBB 1430,145,GWS-010817-1,White shark,"Airforce Beach, Evans Head",-29.09016,153.44101,1/8/17,10:35,194,222,245,F,16/1/18,Fin,RNA later
MBB 1357,50,GWS-011016-1,White shark,"Sharpes Beach, Ballina",-28.83961,153.61123,1/10/16,10:50,176,187,213,M,28/11/17,Fin,RNA later
MBB 1521,204,GWS-011017-1,White Shark,"One Mile Beach, Forster",-32.19195,152.54355,1/10/17,13:43,233,264,301,F,8/2/18,Fin,Ethanol - 100%
MBB 1508,238,GWS-011117-2,White shark,"Main Beach, Evans Head",-29.1079,153.43948,1/11/17,16:26,210,240,260,F,16/1/18,Fin,RNA later
MBB 1390,86,GWS-020517-1,White shark,"Main Beach, Evans Head",-29.10471,153.44026,2/5/17,8:59,180,200,220,F,28/11/17,Fin,RNA later
MBB 1336,18,GWS-020616 -1,White shark,"Main Beach, Evans Head",-29.10553,153.43697,2/6/16,14:45,231,255,280,F,28/11/17,Fin,RNA later
MBB 1403,100,GWS-020617-1,White shark,"Jogglys Point, Evans Head",-29.11257,153.44615,2/6/17,11:45,73,188,218,F,28/11/17,Fin,RNA later
MBB 1422,119,GWS-020717-1,White shark,"Airforce Beach, Evans Head",-29.08985,153.43798,2/7/17,8:28,219,233,242,M,28/11/17,Fin,RNA later
MBB 1423,120,GWS-020717-2,White shark,"Airforce Beach, Evans Head",-29.08985,153.43798,2/7/17,13:59,215,258,270,M,28/11/17,Fin,RNA later
MBB 1349,37,GWS-020816-1,White shark,"Boambee Beach, Coffs Harbour",-30.34126,153.11874,2/8/16,12:03,210,234,264,M,28/11/17,Fin,RNA later
MBB 1459,170,GWS-020917-1,White shark,"Main Beach, Forster",-32.17481,152.5189,2/9/17,13:40,188,213,230,F,16/1/18,Fin,Ethanol - 100%
MBB 1358,51,GWS-021016-1,White shark,"Lighthouse Beach, Ballina",-28.87391,153.59595,2/10/16,10:54,217,240,256,M,28/11/17,Fin,RNA later
MBB 1359,52,GWS-021016-2,White shark,"Sharpes Beach, Ballina",-28.83961,153.61123,2/10/16,11:53,248,268,300,M,28/11/17,Fin,RNA later
MBB 1360,53,GWS-021016-3,White shark,"Sharpes Beach, Ballina",-28.83961,153.61123,2/10/16,14:05,190,218,232,M,28/11/17,Fin,RNA later
MBB 1486,205,GWS-021017-1,White shark,"Airforce Beach, Evans Head",-29.090016,153.4395,2/10/17,12:53,160,170,178,F,16/1/18,Fin,RNA later
MBB 1487,206,GWS-021017-2,White shark,"Main Beach, Evans Head",-29.09836,153.44168,2/10/17,16:46,244,282,300,F,16/1/18,Fin,RNA later
MBB 1531,239,GWS-021117-1,White Shark,"Burgess Beach, Forster",-32.194433,152.5441,2/11/17,15:09,252,291,324,F,8/2/18,Fin,Ethanol - 100%
MBB 1391,87,GWS-030517-2,White shark,"Angels Beach, Ballina",-28.86012,153.60312,3/5/17,10:08,185,197,214,M,28/11/17,Fin,RNA later
MBB 1181,121,GWS-030717-1,White shark,"Lighthouse Beach, Ballina",-28.87511,153.5974,3/7/17,10:43,200,217,236,F,16/1/18,Fin,RNA later
