id,pop,id_alt,yob_dp,yob_db,comment_1,id_rec_dsha
MBB_1158,NSW,MBB_1158_1401895_1401613,2011,2011,NSW,1
MBB_1370,NSW,MBB_1370_1401622_0000000,2013,2013,NSW,2
MBB_1378,NSW,MBB_1378_1401623_0000000,2012,2012,NSW,3
MBB_1386,NSW,MBB_1386_1401624_0000000,2010,2010,NSW,4
MBB_1181,NSW,MBB_1181_1401903_1401614,2013,2013,NSW,5
MBB_1189,NSW,MBB_1189_1401615_0000000,2014,2014,NSW,6
MBB_1270,NSW,MBB_1270_1401616_0000000,2012,0,NSW,7
MBB_1330,NSW,MBB_1330_1401617_0000000,2012,2012,NSW,8
MBB_1338,NSW,MBB_1338_1401618_0000000,2011,0,NSW low concentration,9
MBB_1346,NSW,MBB_1346_1401619_0000000,2013,2013,NSW,10
MBB_1354,NSW,MBB_1354_1401620_0000000,2013,2013,NSW,11
MBB_1362,NSW,MBB_1362_1401621_0000000,2013,2013,NSW,12
MBB_1159,NSW,MBB_1159_1401625_0000000,2009,2009,NSW,13
MBB_1371,NSW,MBB_1371_1401634_0000000,2011,2011,NSW,14
MBB_1379,NSW,MBB_1379_1401635_0000000,2011,2011,NSW,15
MBB_1387,NSW,MBB_1387_1401636_0000000,2013,2013,NSW,16
MBB_1182,NSW,MBB_1182_1401904_1401626,2012,2012,NSW,17
MBB_1190,NSW,MBB_1190_1401627_0000000,2011,0,NSW,18
MBB_1323,NSW,MBB_1323_1401628_0000000,2010,2010,NSW,19
MBB_1331,NSW,MBB_1331_1401629_0000000,2010,2010,NSW,20
MBB_1339,NSW,MBB_1339_1401630_0000000,2008,2008,NSW low concentration,21
MBB_1347,NSW,MBB_1347_1401631_0000000,2010,0,NSW,22
MBB_1355,NSW,MBB_1355_1401632_0000000,2010,2010,NSW low concentration,23
MBB_1363,NSW,MBB_1363_1401633_0000000,2010,2010,NSW low concentration,24
MBB_1160,NSW,MBB_1160_1401897_1401637,2013,2013,NSW,25
MBB_1372,NSW,MBB_1372_1401646_0000000,2008,2008,NSW,26
MBB_1380,NSW,MBB_1380_1401647_0000000,2010,2010,NSW,27
MBB_1388,NSW,MBB_1388_1401648_0000000,2011,2011,NSW,28
MBB_1183,NSW,MBB_1183_1401905_1401638,2013,2013,NSW,29
MBB_1191,NSW,MBB_1191_1401639_0000000,2013,2013,NSW,30
MBB_1324,NSW,MBB_1324_1401640_0000000,2009,2009,NSW,31
MBB_1332,NSW,MBB_1332_1401641_0000000,2011,2011,NSW,32
MBB_1340,NSW,MBB_1340_1401642_0000000,2010,2010,NSW,33
MBB_1348,NSW,MBB_1348_1401643_0000000,2013,0,NSW,34
MBB_1356,NSW,MBB_1356_1401644_0000000,2014,2014,NSW,35
MBB_1364,NSW,MBB_1364_1401645_0000000,2012,2012,NSW,36
MBB_1161,NSW,MBB_1161_1401898_1401649,2014,2014,NSW,37
MBB_1373,NSW,MBB_1373_1401658_0000000,2007,2007,NSW,38
MBB_1381,NSW,MBB_1381_1401659_0000000,2010,2010,NSW,39
MBB_1389,NSW,MBB_1389_1401660_0000000,2009,2009,NSW low concentration,40
MBB_1184,NSW,MBB_1184_1401906_1401650,2013,2013,NSW,41
MBB_1192,NSW,MBB_1192_1401651_0000000,2013,2013,NSW,42
MBB_1325,NSW,MBB_1325_1401652_0000000,2012,2012,NSW low concentration,43
MBB_1333,NSW,MBB_1333_1401653_0000000,2012,2012,NSW,44
MBB_1341,NSW,MBB_1341_1401654_1401684,2009,0,NSW,45
MBB_1349,NSW,MBB_1349_1401655_0000000,2011,2011,NSW,46
MBB_1357,NSW,MBB_1357_1401656_0000000,2013,2013,NSW,47
MBB_1365,NSW,MBB_1365_1401657_0000000,2013,2013,NSW,48
