Sample ID	Individual Id	Location	Year of Capture	TL	FL	Predicted_TL	VBGF Age (Sex Model)	Cohort Assigned	
MBB_1158	MBB_1158	NSW	2017	285	258	282.86	5.126429022	2011	
MBB_1159	MBB_1159	NSW	2017	325	300	327.8	7.068198431	2009	
MBB_1160	MBB_1160	NSW	2017	230	210	231.5	3.138533188	2013	
MBB_1161	MBB_1161	NSW	2017	195	187	206.89	2.576484219	2014	
MBB_1162	MBB_1162	NSW	2017	295	277	303.19	6.3534911	2010	
MBB_1163	MBB_1163	NSW	2017	235	225	247.55	4.090286943	2012	
MBB_1164	MBB_1164	NSW	2017	270	240	263.6	4.718804043	2012	
MBB_1165	MBB_1165	NSW	2017	245	224	246.48	3.695835256	2013	
MBB_1181	MBB_1181	NSW	2017	236	217	238.99	3.415010211	2013	
MBB_1182	MBB_1182	NSW	2017	277	255	279.65	4.99548734	2012	
MBB_1183	MBB_1183	NSW	2017	233	219	241.13	3.494796308	2013	
MBB_1184	MBB_1184	NSW	2017	242	231	253.97	3.981147269	2013	
MBB_1185	MBB_1185	NSW	2017	245	218	240.06	3.454858699	2013	
MBB_1186	MBB_1186	NSW	2017	300	280	306.4	6.117180378	2010	
MBB_1187	MBB_1187	NSW	2017	245	225	247.55	4.090286943	2012	
MBB_1188	MBB_1188	NSW	2017	218	198	218.66	2.674309543	2014	
MBB_1189	MBB_1189	NSW	2017	210	195	215.45	2.886351818	2014	
MBB_1190	MBB_1190	NSW	2016	258	235	258.25	4.507228668	2011	
MBB_1191	MBB_1191	NSW	2017	239	215	236.85	3.335579014	2013	
MBB_1192	MBB_1192	NSW	2017	214	200	220.8	3.082336068	2013	
MBB_1266	MBB_1266	NSW	2016	305	277	303.19	5.978797337	2010	
MBB_1267	MBB_1267	NSW	2016	259	223	245.41	3.655445992	2012	
MBB_1268	MBB_1268	NSW	2016	350	300	327.8	7.068198431	2008	
MBB_1269	MBB_1269	NSW	2016	220	197	217.59	2.636163524	2013	
MBB_1270	MBB_1270	NSW	2016	256	230	252.9	3.940108251	2012	
MBB_1323	MBB_1323	NSW	2015	245	226	248.62	4.131615359	2010	
MBB_1324	MBB_1324	NSW	2015	295	270	295.7	5.66001392	2009	
MBB_1325	MBB_1325	NSW	2015	225	200	220.8	2.750846914	2012	
MBB_1326	MBB_1326	NSW	2015	290	272	297.84	5.750515678	2009	
MBB_1327	MBB_1327	NSW	2015	245	218	240.06	3.803214213	2011	
MBB_1328	MBB_1328	NSW	2017	305	270	295.7	5.66001392	2011	
MBB_1329	MBB_1329	NSW	2015	285	260	285	5.21425996	2009	
MBB_1330	MBB_1330	NSW	2015	222	202	222.94	2.827713745	2012	
MBB_1331	MBB_1331	NSW	2015	282	253	277.51	4.908723284	2010	
MBB_1332	MBB_1332	NSW	2015	224	207	228.29	3.021340989	2011	
MBB_1333	MBB_1333	NSW	2016	235	223	245.41	3.655445992	2012	
MBB_1334	MBB_1334	NSW	2016	265	245	268.95	4.932504482	2011	
MBB_1335	MBB_1335	NSW	2016	245	223	245.41	4.007870167	2011	
MBB_1336	MBB_1336	NSW	2016	280	255	279.65	4.99548734	2011	
MBB_1337	MBB_1337	NSW	2016	298	267	292.49	5.89915419	2010	
MBB_1338	MBB_1338	NSW	2016	268	240	263.6	4.354805422	2011	
MBB_1339	MBB_1339	NSW	2016	360	314	342.78	7.765391716	2008	
MBB_1340	MBB_1340	NSW	2016	306	267	292.49	5.89915419	2010	
MBB_1341	MBB_1341	NSW	2016	305	285	311.75	6.350228885	2009	
