OffspringID1,OffspringID2
2013-MBB-1165,2013-MBB-1366
2013-MBB-1181,2013-MBB-1518
2013-MBB-1183,2013-MBB-1471
2013-MBB-1184,2013-MBB-1370
2013-MBB-1184,2013-MBB-1398
2013-MBB-1185,2013-MBB-1510
2013-MBB-1192,2013-MBB-1354
2013-MBB-1192,2013-MBB-1370
2013-MBB-1342,2013-MBB-1366
2013-MBB-1350,2013-MBB-1362
2013-MBB-1351,2013-MBB-1357
2013-MBB-1354,2013-MBB-1357
2013-MBB-1368,2013-MBB-1491
2013-MBB-1370,2013-MBB-1398
2013-MBB-1387,2013-MBB-1432
2013-MBB-1387,2013-MBB-1484
2013-MBB-1394,2013-MBB-1471
2013-MBB-1413,2013-MBB-1518
2013-MBB-1418,2013-MBB-1519
2013-MBB-1455,2013-MBB-1530
2013-MBB-1467,2013-MBB-1510
2013-MBB-1509,2013-MBB-1519
