Year,Scenario,Nb_SA_est,Nb_SA_lower,Nb_SA_upper,FS_count_Nb_SA,HS_count_Nb_SA
2010,scenario_00,96,60,192,NA,NA
2011,scenario_00,234,146,504,NA,NA
2012,scenario_00,204,139,331,NA,NA
2013,scenario_00,152,108,218,NA,NA
2014,scenario_00,127,69,356,NA,NA
2010,scenario_01,81,50,146,NA,NA
2011,scenario_01,173,109,311,NA,NA
2012,scenario_01,161,108,265,NA,NA
2013,scenario_01,144,101,214,NA,NA
2014,scenario_01,127,71,495,NA,NA
2010,scenario_02,90,55,174,NA,NA
2011,scenario_02,205,132,378,NA,NA
2012,scenario_02,189,133,310,NA,NA
2013,scenario_02,149,105,213,NA,NA
2014,scenario_02,127,70,491,NA,NA
2010,scenario_03,81,51,153,NA,NA
2011,scenario_03,156,100,280,NA,NA
2012,scenario_03,156,104,249,NA,NA
2013,scenario_03,137,98,199,NA,NA
2014,scenario_03,127,69,508,NA,NA
2010,scenario_04,96,56,190,NA,NA
2011,scenario_04,219,137,501,NA,NA
2012,scenario_04,196,134,349,NA,NA
2013,scenario_04,149,104,220,NA,NA
2014,scenario_04,127,73,519,NA,NA
2010,scenario_05,81,49,155,NA,NA
2011,scenario_05,173,111,321,NA,NA
2012,scenario_05,161,109,265,NA,NA
2013,scenario_05,144,105,211,NA,NA
2014,scenario_05,127,72,473,NA,NA
2010,scenario_06,90,56,168,NA,NA
2011,scenario_06,205,133,445,NA,NA
2012,scenario_06,196,129,325,NA,NA
2013,scenario_06,149,102,221,NA,NA
2014,scenario_06,127,71,358,NA,NA
2010,scenario_07,81,49,153,NA,NA
2011,scenario_07,164,107,319,NA,NA
2012,scenario_07,156,108,246,NA,NA
2013,scenario_07,144,105,210,NA,NA
2014,scenario_07,127,66,450,NA,NA
2010,scenario_08,96,57,179,NA,NA
2011,scenario_08,234,144,552,NA,NA
2012,scenario_08,196,133,320,NA,NA
2013,scenario_08,152,109,221,NA,NA
2014,scenario_08,127,73,402,NA,NA
2010,scenario_09,96,57,179,NA,NA
2011,scenario_09,234,144,552,NA,NA
2012,scenario_09,196,133,320,NA,NA
2013,scenario_09,152,109,221,NA,NA
2014,scenario_09,127,73,402,NA,NA
2010,scenario_10,96,58,194,NA,NA
2011,scenario_10,234,144,492,NA,NA
2012,scenario_10,196,133,319,NA,NA
2013,scenario_10,152,109,221,NA,NA
2014,scenario_10,127,71,358,NA,NA
2010,scenario_11,96,58,194,NA,NA
2011,scenario_11,234,144,492,NA,NA
2012,scenario_11,196,133,319,NA,NA
2013,scenario_11,152,109,221,NA,NA
2014,scenario_11,127,71,358,NA,NA
2010,scenario_final,96,60,186,7,3
2011,scenario_final,240,151,589,4,5
2012,scenario_final,196,139,323,7,13
2013,scenario_final,158,112,234,16,25
2014,scenario_final,127,69,356,3,2
