Year,S,Nb_LD_est,Nb_LD_lower,Nb_LD_upper,Nb_SA_est,Nb_SA_lower,Nb_SA_upper,Nb_COM_est,Nb_COM_SD,Na_Nb_ratio,FS_count_Nb_SA,HS_count_Nb_SA,Era
2010,29,193.2,91.1,NA,271,136,1430,NA,NA,NA,2,2,Original
2011,42,195.1,104.2,952.9,344,204,923,233.2,69.5,0.31,4,4,Original
2012,52,165.6,104.2,359.6,341,157,399,206.1,45.9,0.27,8,6,Original
2013,63,208.5,116.4,712.7,289,200,461,252,46.7,0.34,8,10,Original
2014,23,521.9,282.2,3112.4,NA,NA,NA,NA,NA,NA,NA,NA,Original
2010,29,62,32.6,252.3,96,59,186,76.18333481982118,19.492023461509408,0.10157777975976158,7,3,Reanalysis
2011,39,206.9,109.5,1127.8,247,156,600,229.0199848640425,55.80549994671917,0.3053599798187233,4,5,Reanalysis
2012,52,200.9,125.9,448.4,196,132,306,196.94165155643404,37.502480023596085,0.26258886874191206,8,16,Reanalysis
2013,63,179.4,121.9,318.5,163,114,248,165.2564214215294,29.219812517703993,0.22034189522870587,16,21,Reanalysis
2014,22,92.9,42.8,Inf,132,70,445,NA,NA,NA,3,1,Reanalysis
