TARGET_ID	INDIVIDUALS	STRATA
MBB_1158	MBB_1158	NSW
MBB_1159	MBB_1159	NSW
MBB_1160	MBB_1160	NSW
MBB_1161	MBB_1161	NSW
MBB_1162	MBB_1162	NSW
MBB_1163	MBB_1163	NSW
MBB_1164	MBB_1164	NSW
MBB_1165	MBB_1165	NSW
MBB_1181	MBB_1181	NSW
MBB_1182	MBB_1182	NSW
MBB_1183	MBB_1183	NSW
MBB_1184	MBB_1184	NSW
MBB_1185	MBB_1185	NSW
MBB_1186	MBB_1186	NSW
MBB_1187	MBB_1187	NSW
MBB_1188	MBB_1188	NSW
MBB_1189	MBB_1189	NSW
MBB_1190	MBB_1190	NSW
MBB_1191	MBB_1191	NSW
MBB_1192	MBB_1192	NSW
MBB_1266	MBB_1266	NSW
MBB_1267	MBB_1267	NSW
MBB_1268	MBB_1268	NSW
MBB_1269	MBB_1269	NSW
MBB_1270	MBB_1270	NSW
MBB_1323	MBB_1323	NSW
MBB_1324	MBB_1324	NSW
MBB_1325	MBB_1325	NSW
MBB_1326	MBB_1326	NSW
MBB_1327	MBB_1327	NSW
MBB_1328	MBB_1328	NSW
MBB_1329	MBB_1329	NSW
MBB_1330	MBB_1330	NSW
MBB_1331	MBB_1331	NSW
MBB_1332	MBB_1332	NSW
MBB_1333	MBB_1333	NSW
MBB_1334	MBB_1334	NSW
MBB_1335	MBB_1335	NSW
MBB_1336	MBB_1336	NSW
MBB_1337	MBB_1337	NSW
MBB_1338	MBB_1338	NSW
MBB_1339	MBB_1339	NSW
MBB_1340	MBB_1340	NSW
MBB_1341	MBB_1341	NSW
MBB_1342	MBB_1342	NSW
MBB_1343	MBB_1343	NSW
MBB_1344	MBB_1344	NSW
MBB_1345	MBB_1345	NSW
MBB_1346	MBB_1346	NSW
MBB_1347	MBB_1347	NSW
MBB_1348	MBB_1348	NSW
MBB_1349	MBB_1349	NSW
MBB_1350	MBB_1350	NSW
MBB_1351	MBB_1351	NSW
MBB_1352	MBB_1352	NSW
MBB_1353	MBB_1353	NSW
MBB_1354	MBB_1354	NSW
MBB_1355	MBB_1355	NSW
MBB_1356	MBB_1356	NSW
MBB_1357	MBB_1357	NSW
MBB_1358	MBB_1358	NSW
MBB_1359	MBB_1359	NSW
MBB_1360	MBB_1360	NSW
MBB_1361	MBB_1361	NSW
MBB_1362	MBB_1362	NSW
MBB_1363	MBB_1363	NSW
MBB_1364	MBB_1364	NSW
MBB_1365	MBB_1365	NSW
MBB_1366	MBB_1366	NSW
MBB_1367	MBB_1367	NSW
MBB_1368	MBB_1368	NSW
MBB_1369	MBB_1369	NSW
MBB_1370	MBB_1370	NSW
MBB_1371	MBB_1371	NSW
MBB_1372	MBB_1372	NSW
MBB_1373	MBB_1373	NSW
MBB_1374	MBB_1374	NSW
MBB_1375	MBB_1375	NSW
MBB_1376	MBB_1376	NSW
MBB_1377	MBB_1377	NSW
MBB_1378	MBB_1378	NSW
MBB_1379	MBB_1379	NSW
MBB_1380	MBB_1380	NSW
MBB_1381	MBB_1381	NSW
MBB_1382	MBB_1382	NSW
MBB_1383	MBB_1383	NSW
MBB_1384	MBB_1384	NSW
MBB_1385	MBB_1385	NSW
MBB_1386	MBB_1386	NSW
MBB_1387	MBB_1387	NSW
MBB_1388	MBB_1388	NSW
MBB_1389	MBB_1389	NSW
MBB_1390	MBB_1390	NSW
MBB_1341_Dup	MBB_1341_Dup	NSW
MBB_1391	MBB_1391	NSW
MBB_1392	MBB_1392	NSW
MBB_1393	MBB_1393	NSW
MBB_1394	MBB_1394	NSW
MBB_1395	MBB_1395	NSW
MBB_1396	MBB_1396	NSW
MBB_1397	MBB_1397	NSW
MBB_1398	MBB_1398	NSW
MBB_1399	MBB_1399	NSW
MBB_1400	MBB_1400	NSW
MBB_1401	MBB_1401	NSW
MBB_1402	MBB_1402	NSW
MBB_1403	MBB_1403	NSW
MBB_1404	MBB_1404	NSW
MBB_1405	MBB_1405	NSW
MBB_1406	MBB_1406	NSW
MBB_1407	MBB_1407	NSW
MBB_1408	MBB_1408	NSW
MBB_1409	MBB_1409	NSW
MBB_1410	MBB_1410	NSW
MBB_1411	MBB_1411	NSW
MBB_1412	MBB_1412	NSW
MBB_1413	MBB_1413	NSW
MBB_1414	MBB_1414	NSW
MBB_1415	MBB_1415	NSW
MBB_1416	MBB_1416	NSW
MBB_1417	MBB_1417	NSW
MBB_1418	MBB_1418	NSW
MBB_1419	MBB_1419	NSW
MBB_1420	MBB_1420	NSW
MBB_1421	MBB_1421	NSW
MBB_1422	MBB_1422	NSW
MBB_1423	MBB_1423	NSW
MBB_1427	MBB_1427	NSW
MBB_1428	MBB_1428	NSW
MBB_1429	MBB_1429	NSW
MBB_1431	MBB_1431	NSW
MBB_1432	MBB_1432	NSW
MBB_1433	MBB_1433	NSW
MBB_1434	MBB_1434	NSW
MBB_1435	MBB_1435	NSW
MBB_1441	MBB_1441	NSW
MBB_1442	MBB_1442	NSW
MBB_1443	MBB_1443	NSW
MBB_1444	MBB_1444	NSW
MBB_1445	MBB_1445	NSW
MBB_1446	MBB_1446	NSW
MBB_1447	MBB_1447	NSW
MBB_1448	MBB_1448	NSW
MBB_1449	MBB_1449	NSW
MBB_1450	MBB_1450	NSW
MBB_1451	MBB_1451	NSW
MBB_1452	MBB_1452	NSW
MBB_1453	MBB_1453	NSW
MBB_1454	MBB_1454	NSW
MBB_1455	MBB_1455	NSW
MBB_1456	MBB_1456	NSW
MBB_1457	MBB_1457	NSW
MBB_1458	MBB_1458	NSW
MBB_1459	MBB_1459	NSW
MBB_1460	MBB_1460	NSW
MBB_1461	MBB_1461	NSW
MBB_1462	MBB_1462	NSW
MBB_1463	MBB_1463	NSW
MBB_1464	MBB_1464	NSW
MBB_1465	MBB_1465	NSW
MBB_1466	MBB_1466	NSW
MBB_1467	MBB_1467	NSW
MBB_1468	MBB_1468	NSW
MBB_1469	MBB_1469	NSW
MBB_1470	MBB_1470	NSW
MBB_1471	MBB_1471	NSW
MBB_1472	MBB_1472	NSW
MBB_1473	MBB_1473	NSW
MBB_1474	MBB_1474	NSW
MBB_1475	MBB_1475	NSW
MBB_1476	MBB_1476	NSW
MBB_1477	MBB_1477	NSW
MBB_1478	MBB_1478	NSW
MBB_1479	MBB_1479	NSW
MBB_1480	MBB_1480	NSW
MBB_1482	MBB_1482	NSW
MBB_1483	MBB_1483	NSW
MBB_1484	MBB_1484	NSW
MBB_1485	MBB_1485	NSW
MBB_1486	MBB_1486	NSW
MBB_1487	MBB_1487	NSW
MBB_1488	MBB_1488	NSW
MBB_1489	MBB_1489	NSW
MBB_1490	MBB_1490	NSW
MBB_1491	MBB_1491	NSW
MBB_1483_Dup	MBB_1483_Dup	NSW
MBB_1492	MBB_1492	NSW
MBB_1493	MBB_1493	NSW
MBB_1494	MBB_1494	NSW
MBB_1495	MBB_1495	NSW
MBB_1496	MBB_1496	NSW
MBB_1497	MBB_1497	NSW
MBB_1499	MBB_1499	NSW
MBB_1500	MBB_1500	NSW
MBB_1502	MBB_1502	NSW
MBB_1503	MBB_1503	NSW
MBB_1504	MBB_1504	NSW
MBB_1505	MBB_1505	NSW
MBB_1506	MBB_1506	NSW
MBB_1507	MBB_1507	NSW
MBB_1508	MBB_1508	NSW
MBB_1509	MBB_1509	NSW
MBB_1510	MBB_1510	NSW
MBB_1511	MBB_1511	NSW
MBB_1512	MBB_1512	NSW
MBB_1513	MBB_1513	NSW
MBB_1514	MBB_1514	NSW
MBB_1515	MBB_1515	NSW
MBB_1516	MBB_1516	NSW
MBB_1517	MBB_1517	NSW
MBB_1518	MBB_1518	NSW
MBB_1519	MBB_1519	NSW
MBB_1520	MBB_1520	NSW
MBB_1521	MBB_1521	NSW
MBB_1522	MBB_1522	NSW
MBB_1523	MBB_1523	NSW
MBB_1524	MBB_1524	NSW
MBB_1525	MBB_1525	NSW
MBB_1526	MBB_1526	NSW
MBB_1527	MBB_1527	NSW
MBB_1528	MBB_1528	NSW
MBB_1529	MBB_1529	NSW
MBB_1530	MBB_1530	NSW
MBB_1531	MBB_1531	NSW
